
"UCL_CODE_2016"	"UCL_NAME_2016"	"Latitude"	"Longitude"
"UCL115141"	"Valla Beach"	-30.596243	153.007325
"UCL115142"	"Vincentia"	-35.068485	150.672149
"UCL115143"	"Walcha"	-30.983419	151.592805
"UCL115144"	"Walgett"	-30.02264	148.121229
"UCL115145"	"Wallacia"	-33.869331	150.646512
"UCL115146"	"Wallerawang"	-33.399537	150.073326
"UCL115147"	"Warialda"	-29.537715	150.574764
"UCL115148"	"Warren"	-31.702058	147.833285
"UCL115149"	"Wee Waa"	-30.222151	149.439123
"UCL115150"	"Wellington"	-32.555328	148.953842
"UCL115151"	"Wentworth"	-34.101172	141.918491
"UCL115152"	"Werris Creek"	-31.345836	150.644598
"UCL115153"	"West Wyalong"	-33.919556	147.207763
"UCL115154"	"Wilberforce"	-33.556371	150.850969
"UCL115155"	"Wilton"	-34.235806	150.69187
"UCL115156"	"Wingham"	-31.868692	152.372188
"UCL115157"	"Wollongbar"	-28.828152	153.420698
"UCL115158"	"Woolgoolga"	-30.115103	153.193894
"UCL115159"	"Wyee"	-33.178771	151.480729
"UCL115160"	"Wyee Point"	-33.146011	151.521693
"UCL115161"	"Yenda"	-34.250184	146.196364
"UCL121001"	"Adelong (L)"	-35.309729	148.062708
"UCL121002"	"Baradine (L)"	-30.948673	149.061956
"UCL121003"	"Bawley Point (L)"	-35.527596	150.382388
"UCL121004"	"Beechwood (L)"	-31.445092	152.658595
"UCL121005"	"Belimbla Park (L)"	-34.083474	150.53846
"UCL121006"	"Berrara - Cudmirrah (L)"	-35.20216	150.558263
"UCL121007"	"Berridale (L)"	-36.368933	148.831389
"UCL121008"	"Berrigan (L)"	-35.665721	145.821549
"UCL121009"	"Boggabilla (L)"	-28.606456	150.359382
"UCL121010"	"Boggabri (L)"	-30.711461	150.044278
"UCL121011"	"Bowraville (L)"	-30.650303	152.853873
"UCL121012"	"Brandy Hill (L)"	-32.689397	151.699405
"UCL121013"	"Brewarrina (L)"	-29.964405	146.862564
"UCL121014"	"Brooklyn (L)"	-33.545218	151.227773
"UCL121015"	"Burringbar (L)"	-28.438467	153.470504
"UCL121016"	"Clarence Town (L)"	-32.58678	151.780505
"UCL121017"	"Clifton Grove (L)"	-33.245279	149.150132
"UCL121018"	"Clunes (L) (NSW)"	-28.728921	153.406625
"UCL121019"	"Coleambally (L)"	-34.80048	145.890348
"UCL121020"	"Coolah (L)"	-31.824875	149.716125
"UCL121021"	"Coomba Park (L)"	-32.238463	152.467818
"UCL121022"	"Coraki (L)"	-28.989182	153.286252
"UCL121023"	"Coutts Crossing (L)"	-29.823587	152.893319
"UCL121024"	"Cowan (L)"	-33.591158	151.170717
"UCL121025"	"Crescent Head (L)"	-31.190688	152.975984
"UCL121026"	"Cudgen (L)"	-28.262211	153.55906
"UCL121027"	"Cumbalum (L)"	-28.825688	153.537832
"UCL121028"	"Cunjurong Point - Manyana (L)"	-35.261845	150.510922
"UCL121029"	"Curlewis (L)"	-31.115853	150.262347
"UCL121030"	"Dareton (L)"	-34.098002	142.034564
"UCL121031"	"Darlington Point (L)"	-34.561062	146.012179
"UCL121032"	"Diamond Beach (L)"	-32.040541	152.534596
"UCL121033"	"Dunedoo (L)"	-32.016379	149.391324
"UCL121034"	"East Jindabyne (L)"	-36.403807	148.638231
"UCL121035"	"Ellalong (L)"	-32.916808	151.314319
"UCL121036"	"Emerald Beach West (L)"	-30.173277	153.160982
"UCL121037"	"Erowal Bay (L)"	-35.106906	150.661217
"UCL121038"	"Eugowra (L)"	-33.42865	148.363642
"UCL121039"	"Euston (L)"	-34.577492	142.741039
"UCL121040"	"Ewingsdale (L)"	-28.650464	153.565732
"UCL121041"	"Firgrove (L)"	-32.290857	148.70977
"UCL121042"	"Ganmain (L)"	-34.795057	147.041533
"UCL121043"	"Gerroa (L)"	-34.773848	150.820604
"UCL121044"	"Glenorie (L)"	-33.599125	151.009012
"UCL121045"	"Green Point (L)"	-32.248528	152.517751
"UCL121046"	"Gunning (L)"	-34.782745	149.265943
"UCL121047"	"Hallidays Point - Black Head (L)"	-32.068904	152.534855
"UCL121048"	"Hanwood (L)"	-34.3316	146.044288
"UCL121049"	"Hastings Point (L)"	-28.364662	153.576323
"UCL121050"	"Hawks Nest (L)"	-32.663291	152.177328
"UCL121051"	"Henty (L)"	-35.520106	147.037925
"UCL121052"	"Huskisson (L)"	-35.041914	150.671918
"UCL121053"	"Jamberoo (L)"	-34.644869	150.777735
"UCL121054"	"Jerilderie (L)"	-35.363122	145.723245
"UCL121055"	"Jilliby (L)"	-33.240388	151.409873
"UCL121056"	"Kalaru (L)"	-36.73111	149.929413
"UCL121057"	"Kendall (L)"	-31.626546	152.711101
"UCL121058"	"Killingworth (L)"	-32.935815	151.559244
"UCL121059"	"King Creek (L)"	-31.492427	152.757643
"UCL121060"	"Kings Point (L)"	-35.370569	150.442537
"UCL121061"	"Kingswood (L)"	-31.163454	150.909429
"UCL121062"	"Kurrajong Heights (L)"	-33.525502	150.627014
"UCL121063"	"Lake Tabourie (L)"	-35.439231	150.403278
"UCL121064"	"Lawrence (L)"	-29.49049	153.104658
"UCL121065"	"Lockhart (L)"	-35.22298	146.713844
"UCL121066"	"Long Beach (L)"	-35.689923	150.227437
"UCL121067"	"Louth Park (L)"	-32.776142	151.555604
"UCL121068"	"Maianbar (L)"	-34.080199	151.131261
"UCL121069"	"Marulan (L)"	-34.710784	150.000766
"UCL121070"	"Mathoura (L)"	-35.813353	144.899484
"UCL121071"	"Medlow Bath (L)"	-33.680377	150.282783
"UCL121072"	"Menangle (L)"	-34.130174	150.739602
"UCL121073"	"Merriwa (L)"	-32.140395	150.360156
"UCL121074"	"Millfield (L)"	-32.890732	151.260346
"UCL121075"	"Millthorpe (L)"	-33.445773	149.182732
"UCL121076"	"Minmi (L)"	-32.883543	151.611626
"UCL121077"	"Modanville (L)"	-28.716403	153.300627
"UCL121078"	"Moonee Beach (L)"	-30.200795	153.163339
"UCL121079"	"Moonee Beach West (L)"	-30.194382	153.133805
"UCL121080"	"Moruya Heads (L)"	-35.929885	150.137365
"UCL121081"	"Mount Victoria (L)"	-33.584809	150.245862
"UCL121082"	"Mulgoa (L)"	-33.840467	150.654066
"UCL121083"	"Murrays Beach (L)"	-33.134806	151.624712
"UCL121084"	"Murrurundi (L)"	-31.763147	150.832236
"UCL121085"	"Nabiac (L)"	-32.098456	152.386701
"UCL121086"	"New Berrima (L)"	-34.507812	150.333192
"UCL121087"	"Nords Wharf (L)"	-33.136133	151.60629
"UCL121088"	"North Rothbury (L)"	-32.679986	151.34951
"UCL121089"	"Nowra Hill (L)"	-34.911045	150.556524
"UCL121090"	"Nunderi (L)"	-28.322454	153.460044
"UCL121091"	"Oakdale (L)"	-34.074812	150.499615
"UCL121092"	"Paxton (L)"	-32.903821	151.2899
"UCL121093"	"Peak Hill (L)"	-32.728772	148.182823
"UCL121094"	"Putta Bucca - Bombira (L)"	-32.57185	149.594761
"UCL121095"	"Red Head (L)"	-32.0573	152.534694
"UCL121096"	"Repton (L)"	-30.441539	153.035324
"UCL121097"	"Richmond Hill (L)"	-28.790681	153.345992
"UCL121098"	"Rylstone (L)"	-32.799717	149.970428
"UCL121099"	"Safety Beach (L)"	-30.096333	153.19459
"UCL121100"	"Salt Ash (L)"	-32.782778	151.929057
"UCL121101"	"Scotts Head (L)"	-30.748408	152.993379
"UCL121102"	"Smithtown - Gladstone (L)"	-31.018957	152.949349
"UCL121103"	"Stroud (L)"	-32.40363	151.966018
"UCL121104"	"Stuarts Point (L)"	-30.822712	152.99296
"UCL121105"	"Tallwoods Village (L)"	-32.055461	152.510463
"UCL121106"	"The Rock (L)"	-35.26956	147.108502
"UCL121107"	"Tinonee (L)"	-31.936002	152.413653
"UCL121108"	"Tintenbar (L)"	-28.800753	153.509826
"UCL121109"	"Townsend (L)"	-29.463147	153.220391
"UCL121110"	"Trangie (L)"	-32.034479	147.981846
"UCL121111"	"Uranquinty (L)"	-35.192107	147.248669
"UCL121112"	"Walla Walla (L)"	-35.762535	146.900089
"UCL121113"	"Wallabi Point (L)"	-31.992329	152.568216
"UCL121114"	"Wallaga Lake (L)"	-36.374773	150.074465
"UCL121115"	"Wallalong (L)"	-32.689532	151.652217
"UCL121116"	"Wardell (L)"	-28.952658	153.464175
"UCL121117"	"Waterview Heights (L)"	-29.664945	152.873789
"UCL121118"	"Wilcannia (L)"	-31.558339	143.373655
"UCL121119"	"Wongarbon (L)"	-32.331249	148.765844
"UCL121120"	"Woodburn (L)"	-29.074249	153.344852
"UCL121121"	"Woombah (L)"	-29.358232	153.272715
"UCL121122"	"Wooroowoolgan (L)"	-28.861634	153.015966
"UCL121123"	"Wyalong (L)"	-33.920906	147.240734
"UCL121124"	"Yanco (L)"	-34.5991	146.410164
"UCL121125"	"Yanderra (L)"	-34.319779	150.571851
"UCL121126"	"Yerrinbool (L)"	-34.374014	150.532476
"UCL122001"	"Abernethy (L)"	-32.880389	151.395754
"UCL122002"	"Adaminaby (L)"	-35.995119	148.772701
"UCL122003"	"Agnes Banks (L)"	-33.613067	150.714486
"UCL122004"	"Angourie (L)"	-29.469139	153.357335
"UCL122005"	"Ardlethan (L)"	-34.354791	146.895717
"UCL122006"	"Ariah Park (L)"	-34.345026	147.218171
"UCL122007"	"Ashford (L)"	-29.318894	151.093771
"UCL122008"	"Ashley (L)"	-29.315129	149.805833
"UCL122009"	"Attunga (L)"	-30.928562	150.8426
"UCL122010"	"Awaba (L)"	-33.011938	151.542753
